Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603",-95.547576,-86.617896,-90.000000,bottom
"C2","0.1uF","C_0603",-108.942096,-87.808520,0.000000,bottom
"C3","0.1uF","C_0603",-105.370224,-100.012416,-90.000000,bottom
"C4","0.1uF","C_0603",-96.440544,-94.952264,90.000000,bottom
"C5","22pF","C_0603",-115.806152,-90.294456,90.000000,bottom
"C6","22pF","C_0603",-113.127248,-87.913208,0.000000,bottom
"C7","1uF","C_0603",-103.286632,-81.855400,-90.000000,bottom
"D9","PRTR5V0U2X","SOT-143B",-102.691320,-38.099968,-90.000000,bottom
"DR1","WS2812B","SK6812-MINI-E",-36.016376,-42.564808,180.000000,bottom
"DR2","WS2812B","SK6812-MINI-E",-55.066359,-41.651992,180.000000,bottom
"DR3","WS2812B","SK6812-MINI-E",-74.116343,-36.889492,180.000000,bottom
"DR4","WS2812B","SK6812-MINI-E",-93.166327,-34.508242,180.000000,bottom
"DR5","WS2812B","SK6812-MINI-E",-112.216311,-36.889492,180.000000,bottom
"DR6","WS2812B","SK6812-MINI-E",-131.266295,-39.270742,180.000000,bottom
"DR7","WS2812B","SK6812-MINI-E",-131.266295,-58.320726,0.000000,bottom
"DR8","WS2812B","SK6812-MINI-E",-112.216311,-55.939476,0.000000,bottom
"DR9","WS2812B","SK6812-MINI-E",-93.166327,-53.558226,0.000000,bottom
"DR10","WS2812B","SK6812-MINI-E",-74.116343,-55.939476,0.000000,bottom
"DR11","WS2812B","SK6812-MINI-E",-55.066359,-60.701976,0.000000,bottom
"DR12","WS2812B","SK6812-MINI-E",-36.016375,-60.701976,0.000000,bottom
"DR13","WS2812B","SK6812-MINI-E",-36.016375,-79.751960,180.000000,bottom
"DR14","WS2812B","SK6812-MINI-E",-55.066359,-79.751960,180.000000,bottom
"DR15","WS2812B","SK6812-MINI-E",-74.116343,-74.989460,180.000000,bottom
"DR16","WS2812B","SK6812-MINI-E",-93.166327,-72.608210,180.000000,bottom
"DR17","WS2812B","SK6812-MINI-E",-112.216311,-74.989460,180.000000,bottom
"DR18","WS2812B","SK6812-MINI-E",-131.266295,-77.370710,180.000000,bottom
"DR19","WS2812B","SK6812-MINI-E",-131.266295,-96.420694,0.000000,bottom
"DR20","WS2812B","SK6812-MINI-E",-112.216311,-94.039444,0.000000,bottom
"DR21","WS2812B","SK6812-MINI-E",-93.166327,-91.658194,0.000000,bottom
"DR22","WS2812B","SK6812-MINI-E",-74.116343,-94.039444,0.000000,bottom
"DR23","WS2812B","SK6812-MINI-E",-55.066359,-98.801944,0.000000,bottom
"DR24","WS2812B","SK6812-MINI-E",-36.016375,-98.801944,0.000000,bottom
"DR25","WS2812B","SK6812-MINI-E",-102.691319,-115.470682,180.000000,bottom
"DR26","WS2812B","SK6812-MINI-E",-121.741303,-117.851930,180.000000,bottom
"DR27","WS2812B","SK6812-MINI-E",-144.660816,-135.731136,60.000000,bottom
"DR28","WS2812B","SK6812-MINI-E",-156.764163,-114.390000,85.000000,bottom
"DR29","WS2812B","WS2812B",-131.151168,-118.273392,0.000000,bottom
"DR30","WS2812B","WS2812B",-85.014488,-107.855432,0.000000,bottom
"DR31","WS2812B","WS2812B",-45.426240,-100.116376,0.000000,bottom
"DR32","WS2812B","WS2812B",-45.426240,-42.564808,180.000000,bottom
"DR33","WS2812B","WS2812B",-83.526208,-36.417992,180.000000,bottom
"DR34","WS2812B","WS2812B",-121.626176,-37.608616,180.000000,bottom
"DS1","D_Schottky","D_SOD123F",-100.790256,-46.835952,90.000000,bottom
"D_A1","D","D_SOD123F",-31.734064,-56.554640,180.000000,bottom
"D_A2","D","D_SOD123F",-50.784048,-55.170320,180.000000,bottom
"D_A3","D","D_SOD123F",-65.369192,-48.621888,90.000000,bottom
"D_A4","D","D_SOD123F",-84.419176,-46.240640,90.000000,bottom
"D_A5","D","D_SOD123F",-107.934000,-50.407824,180.000000,bottom
"D_A6","D","D_SOD123F",-126.983984,-52.789072,180.000000,bottom
"D_B1","D","D_SOD123F",-32.031720,-74.220304,180.000000,bottom
"D_B2","D","D_SOD123F",-46.319208,-72.434368,90.000000,bottom
"D_B3","D","D_SOD123F",-65.369192,-67.671872,90.000000,bottom
"D_B4","D","D_SOD123F",-84.419176,-65.290624,90.000000,bottom
"D_B5","D","D_SOD123F",-103.469160,-64.695312,-90.000000,bottom
"D_B6","D","D_SOD123F",-122.519144,-70.053120,90.000000,bottom
"D_C1","D","D_SOD123F",-32.031720,-93.270288,180.000000,bottom
"D_C2","D","D_SOD123F",-50.784048,-93.270288,180.000000,bottom
"D_C3","D","D_SOD123F",-65.369192,-86.721856,90.000000,bottom
"D_C4","D","D_SOD123F",-84.419176,-84.340608,90.000000,bottom
"D_C5","D","D_SOD123F",-105.072568,-80.069464,-90.000000,bottom
"D_C6","D","D_SOD123F",-122.519144,-85.531232,-90.000000,bottom
"D_D1","D","D_SOD123F",-30.543440,-99.818720,-90.000000,bottom
"D_D2","D","D_SOD123F",-46.319208,-107.557776,-90.000000,bottom
"D_D3","D","D_SOD123F",-65.369192,-102.795280,-90.000000,bottom
"D_D4","D","D_SOD123F",-84.419176,-100.414032,-90.000000,bottom
"D_D5","D","D_SOD123F",-103.469160,-105.771840,90.000000,bottom
"D_D6","D","D_SOD123F",-122.519144,-108.153088,90.000000,bottom
"D_E3","D","D_SOD123F",-110.612904,-118.868704,-90.000000,bottom
"D_E4","D","D_SOD123F",-112.994152,-126.607760,-90.000000,bottom
"D_E5","D","D_SOD123F",-130.555856,-131.072600,-90.000000,bottom
"D_E6","D","D_SOD123F",-134.540512,-123.824896,90.000000,bottom
"F1","500mA","R_0805",-99.004320,-37.310960,0.000000,bottom
"P1","TC2030-AVR","ICSP_1.27mm",-113.625216,-69.949160,-90.000000,bottom
"R1","5.1kΩ","R_0603",-95.547576,-31.551536,0.000000,bottom
"R2","5.1kΩ","R_0603",-110.132720,-31.551536,180.000000,bottom
"R3","22Ω","R_0603",-102.873848,-42.966424,90.000000,bottom
"R4","22Ω","R_0603",-104.659784,-42.966424,90.000000,bottom
"R5","10kΩ","R_0603",-107.934000,-70.053120,90.000000,bottom
"R6","10kΩ","R_0603",-102.988976,-100.012416,-90.000000,bottom
"R7","4.7kΩ","R_0603",-136.624104,-92.571016,-90.000000,bottom
"R8","4.7kΩ","R_0603",-138.112384,-92.571016,-90.000000,bottom
"R10","10kΩ","R_0603",-107.751472,-96.738200,0.000000,bottom
"SW1","Rotary_Encoder_Switch","RotaryEncoder_EC11-no-legs",-152.697687,-114.683140,-135.000000,bottom
"SW2","Rotary_Encoder_Switch","RotaryEncoder_EC11",-36.016375,-46.731992,-90.000000,bottom
"SW_RST1","Reset","SW_SPST_TL3342",-102.691320,-70.544472,0.000000,bottom
"U1","ATmega32U4-MU","QFN-44-1EP_7x7mm_Pitch0.5mm",-102.825410,-91.138258,-90.000000,bottom
"U2","OLED-I2C","I2C_Breakout",-134.768640,-72.925720,90.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",-102.691319,-25.988787,0.000000,bottom
"USB2","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",-147.053783,-96.819028,-30.000000,bottom
"Y1","16 MHz","Crystal_SMD_2520-4pin_2.5x2.0mm",-113.127248,-90.294456,180.000000,bottom
"G***","LOGO","Keebio-TwoTone",63.698491,-57.745361,0.000000,top
"SW_A1","SW_Push","MX-Hotswap-1u",36.016375,-46.731992,180.000000,top
"SW_A2","SW_Push","MX-Hotswap-1u",55.066359,-46.731992,180.000000,top
"SW_A3","SW_Push","MX-Hotswap-1u",74.116343,-41.969492,180.000000,top
"SW_A4","SW_Push","MX-Hotswap-1u",93.166327,-39.588242,180.000000,top
"SW_A5","SW_Push","MX-Hotswap-1u",112.216311,-41.969492,180.000000,top
"SW_A6","SW_Push","MX-Hotswap-1u",131.266295,-44.350742,180.000000,top
"SW_B1","SW_Push","MX-Hotswap-1u",36.016375,-65.781976,180.000000,top
"SW_B2","SW_Push","MX-Hotswap-1u",55.066359,-65.781976,180.000000,top
"SW_B3","SW_Push","MX-Hotswap-1u",74.116343,-61.019476,180.000000,top
"SW_B4","SW_Push","MX-Hotswap-1u",93.166327,-58.638226,180.000000,top
"SW_B5","SW_Push","MX-Hotswap-1u",112.216311,-61.019476,180.000000,top
"SW_B6","SW_Push","MX-Hotswap-1u",131.266295,-63.400726,180.000000,top
"SW_C1","SW_Push","MX-Hotswap-1u",36.016375,-84.831960,180.000000,top
"SW_C2","SW_Push","MX-Hotswap-1u",55.066359,-84.831960,180.000000,top
"SW_C3","SW_Push","MX-Hotswap-1u",74.116343,-80.069460,180.000000,top
"SW_C4","SW_Push","MX-Hotswap-1u",93.166327,-77.688210,180.000000,top
"SW_C5","SW_Push","MX-Hotswap-1u",112.216311,-80.069460,180.000000,top
"SW_C6","SW_Push","MX-Hotswap-1u",131.266295,-82.450710,180.000000,top
"SW_D1","SW_Push","MX-Hotswap-1u",36.016375,-103.881944,180.000000,top
"SW_D2","SW_Push","MX-Hotswap-1u",55.066359,-103.881944,180.000000,top
"SW_D3","SW_Push","MX-Hotswap-1u",74.116343,-99.119444,180.000000,top
"SW_D4","SW_Push","MX-Hotswap-1u",93.166327,-96.738194,180.000000,top
"SW_D5","SW_Push","MX-Hotswap-1u",112.216311,-99.119444,180.000000,top
"SW_D6","SW_Push","MX-Hotswap-1u",131.266295,-101.500694,180.000000,top
"SW_E3","SW_Push","MX-Hotswap-1u",102.691319,-120.550682,180.000000,top
"SW_E4","SW_Push","MX-Hotswap-1u",121.741303,-122.931930,180.000000,top
"SW_E5","SW_Push","MX-Hotswap-1u",143.172687,-131.180924,60.000000,top
"SW_E6","SW_Push","MX-Hotswap-1u",152.697687,-114.683140,60.000000,top
"SW_Ex6","SW_Push","MX-Hotswap-2u",147.940187,-122.942448,-120.000000,top
